,feat_edge_masks,feat_edge_masks_std
0,0.6749556064605713,0.3191191852092743
1,0.8541887998580933,0.0932115688920021
2,0.5772216320037842,0.4242249131202698
3,0.7210929989814758,0.3781520128250122
4,0.802886426448822,0.06846845149993896
5,0.8098546862602234,0.24695724248886108
6,0.4578652083873749,0.4568260610103607
7,0.8488292098045349,0.060739606618881226
8,0.6379584074020386,0.4251415431499481
9,0.24623055756092072,0.3643265962600708
10,0.8634234070777893,0.0317290797829628
11,0.1630934178829193,0.28435465693473816
12,0.2617923319339752,0.39450833201408386
13,0.9057150483131409,0.02371213585138321
14,0.22513094544410706,0.3628738522529602
15,0.7724786400794983,0.2802301049232483
16,0.2033737450838089,0.34736964106559753
17,0.06685042381286621,0.09098564833402634
18,0.35828927159309387,0.2042234092950821
19,0.340285986661911,0.4397980868816376
20,0.8835482597351074,0.030287349596619606
21,0.5373833179473877,0.45488011837005615
22,0.9401411414146423,0.014525847509503365
23,0.34073126316070557,0.4041413962841034
24,0.15203429758548737,0.2639753520488739
25,0.9153925180435181,0.013118756003677845
26,0.08041799813508987,0.15795624256134033
27,0.8706472516059875,0.05502837151288986
28,0.13235603272914886,0.24322789907455444
29,0.485546350479126,0.3487735390663147
30,0.9339193105697632,0.012667876668274403
31,0.2629837989807129,0.3820617198944092
32,0.7394980192184448,0.29750770330429077
33,0.06124301627278328,0.0904860720038414
34,0.20612718164920807,0.34031394124031067
35,0.6035379767417908,0.4274353086948395
36,0.8654364943504333,0.03936127945780754
37,0.6044042110443115,0.3428906798362732
38,0.8757919669151306,0.24567636847496033
39,0.7389976978302002,0.053592342883348465
40,0.6488943099975586,0.36922359466552734
41,0.8227559924125671,0.23763389885425568
42,0.5243109464645386,0.3696070611476898
43,0.5157468914985657,0.3298273980617523
44,0.877295732498169,0.20394176244735718
45,0.6631839275360107,0.268738329410553
46,0.379751056432724,0.3508409559726715
47,0.7951061129570007,0.2595696747303009
48,0.7290688157081604,0.29774701595306396
49,0.7983744740486145,0.17722968757152557
50,0.8214238286018372,0.29706087708473206
51,0.8885950446128845,0.06053699553012848
52,0.8809289336204529,0.08657114207744598
53,0.8624033331871033,0.12980061769485474
54,0.9244360327720642,0.0130037572234869
55,0.611159086227417,0.3519873023033142
56,0.9113541841506958,0.11990045011043549
57,0.9195244908332825,0.016890501603484154
58,0.91143399477005,0.019221212714910507
59,0.93671053647995,0.012467838823795319
60,0.8946478366851807,0.11401713639497757
61,0.8757290244102478,0.044683877378702164
62,0.9325046539306641,0.009633165784180164
63,0.8929319381713867,0.018872009590268135
64,0.9401531219482422,0.014501357451081276
65,0.9323649406433105,0.012680317275226116
66,0.4903031587600708,0.46586301922798157
67,0.15123170614242554,0.29607850313186646
68,0.1045110821723938,0.22034625709056854
69,0.47921764850616455,0.44392019510269165
