,feat_edge_masks_aggr
"(0, 1)",1.2521772384643555
"(1, 2)",1.4921472072601318
"(0, 30)",1.5309476852416992
"(0, 31)",1.651715636253357
"(27, 30)",0.9370828866958618
"(2, 28)",0.4093239903450012
"(2, 29)",1.7691384553909302
"(27, 28)",0.366303414106369
"(3, 21)",0.29198136925697327
"(3, 22)",1.112764596939087
"(3, 26)",0.7407570481300354
"(4, 21)",0.43870726227760315
"(22, 23)",1.75927734375
"(25, 26)",1.4304442405700684
"(26, 27)",0.4919629693031311
"(4, 5)",1.0226815938949585
"(4, 20)",1.8493118286132812
"(5, 6)",0.39533984661102295
"(5, 19)",0.5467893481254578
"(6, 7)",1.3430359363555908
"(9, 19)",0.7304381132125854
"(7, 8)",1.4698407649993896
"(8, 9)",1.524686336517334
"(8, 18)",1.254744529724121
"(9, 10)",1.7000517845153809
"(10, 11)",1.4582901000976562
"(10, 15)",1.2011748552322388
"(11, 12)",1.5914721488952637
"(11, 17)",1.4095335006713867
"(14, 15)",1.8253055810928345
"(15, 16)",1.7755768299102783
"(12, 13)",1.8357901573181152
"(13, 14)",1.8309584856033325
"(23, 24)",1.8254365921020508
"(24, 25)",1.8725180625915527
