,indiv_edge_masks
"(0, 1)",1.3569542169570923
"(1, 2)",1.152998685836792
"(0, 30)",1.6540250778198242
"(0, 31)",1.562740683555603
"(27, 30)",0.8228622674942017
"(2, 28)",0.4032890200614929
"(2, 29)",1.531118631362915
"(27, 28)",0.3463208079338074
"(3, 21)",0.30684879422187805
"(3, 22)",1.3017001152038574
"(3, 26)",0.5177075862884521
"(4, 21)",0.7323154211044312
"(22, 23)",1.5933849811553955
"(25, 26)",1.1672556400299072
"(26, 27)",0.6035240292549133
"(4, 5)",1.0241339206695557
"(4, 20)",1.6038942337036133
"(5, 6)",0.7474238872528076
"(5, 19)",0.9035483002662659
"(6, 7)",1.668543815612793
"(9, 19)",1.3299469947814941
"(7, 8)",1.6615228652954102
"(8, 9)",1.6456929445266724
"(8, 18)",1.4801318645477295
"(9, 10)",1.6297438144683838
"(10, 11)",1.615307331085205
"(10, 15)",1.1718599796295166
"(11, 12)",1.5181334018707275
"(11, 17)",1.5584146976470947
"(14, 15)",1.3396226167678833
"(15, 16)",1.7261697053909302
"(12, 13)",1.6987390518188477
"(13, 14)",1.6952956914901733
"(23, 24)",1.5905779600143433
"(24, 25)",1.6357548236846924
