,node_edge_masks_aggr
"(0, 1)",1.70341956615448
"(1, 2)",1.7352867126464844
"(0, 30)",1.560164451599121
"(0, 31)",1.780158519744873
"(27, 30)",0.5088189840316772
"(2, 28)",0.3426208794116974
"(2, 29)",1.7371220588684082
"(27, 28)",0.33343505859375
"(3, 21)",0.1986178159713745
"(3, 22)",1.1679823398590088
"(3, 26)",0.6390544772148132
"(4, 21)",0.498552143573761
"(22, 23)",1.8015289306640625
"(25, 26)",1.4211969375610352
"(26, 27)",0.5591907501220703
"(4, 5)",1.2911771535873413
"(4, 20)",1.8374953269958496
"(5, 6)",0.3716144561767578
"(5, 19)",0.525787353515625
"(6, 7)",1.7956461906433105
"(9, 19)",0.5250139832496643
"(7, 8)",1.7562739849090576
"(8, 9)",0.7855541706085205
"(8, 18)",1.680121660232544
"(9, 10)",1.5736688375473022
"(10, 11)",1.7662135362625122
"(10, 15)",1.4071768522262573
"(11, 12)",1.7730121612548828
"(11, 17)",1.7565258741378784
"(14, 15)",1.3064736127853394
"(15, 16)",1.5530552864074707
"(12, 13)",1.7315480709075928
"(13, 14)",1.739586353302002
"(23, 24)",1.813750982284546
"(24, 25)",1.811967372894287
