,atoms,node_masks,node_masks_std
0,C,0.8681782484054565,0.029702618718147278
1,N,0.5213730931282043,0.16219069063663483
2,C,0.1761750429868698,0.022686995565891266
3,C,0.16569571197032928,0.1688138246536255
4,N,0.9048808217048645,0.01086346060037613
5,C,0.7729418873786926,0.08595774322748184
6,O,0.1166224330663681,0.026520317420363426
7,C,0.7132153511047363,0.11295680701732635
8,N,0.8274862766265869,0.024876564741134644
9,C,0.07916135340929031,0.01761663891375065
10,C,0.8636219501495361,0.08336979895830154
11,C,0.8658637404441833,0.09356258809566498
12,F,0.48663151264190674,0.34342363476753235
13,C,0.5593161582946777,0.3521416187286377
14,C,0.6938447952270508,0.31164851784706116
15,C,0.24710223078727722,0.27134180068969727
16,C,0.15839844942092896,0.10641846805810928
17,F,0.09626182913780212,0.026851030066609383
18,C,0.5525262951850891,0.07110371440649033
19,F,0.09010618180036545,0.012160160578787327
20,C,0.8775546550750732,0.010510037653148174
21,C,0.4361594021320343,0.05451950803399086
22,C,0.2891768217086792,0.14212480187416077
23,C,0.8937260508537292,0.008461697958409786
24,C,0.8579484224319458,0.013155022636055946
25,C,0.7143223881721497,0.2700197994709015
26,C,0.09813723713159561,0.10648856312036514
27,C,0.09458260238170624,0.009165559895336628
28,C,0.13523045182228088,0.01279442012310028
29,N,0.7954422831535339,0.013462405651807785
30,C,0.24999432265758514,0.1084362268447876
31,C,0.835206151008606,0.026690158993005753
