Name,Sequence,No Sequence
GAT+GCN,1.3551717621689696,1.5058291485230688
GATNet,1.3991061095430335,1.4501325136730978
GCNNet,1.4160213006713784,1.4698648950427524
GINConvNet,1.3518470185784883,1.451023357255484
MLPNet+ECFP1024,1.3214745815456304,1.4729317225720109
MLPNet+ECFP512,1.3049646972107227,1.4477946289162833
MLPNet+FCFP1024,1.323707142699999,1.4694057766339716
MLPNet+FCFP512,1.4720702461645403,1.5440611156098605
SGCNet,1.4037424920292854,1.5117099933770115
SageNet,1.353872414229287,1.4483071258542604
